Time (s),X (m),Y (m)
78.8,0.337513089008226,0.463846604087657
79,0.318959104072121,0.466609684785357
79.2,0.298462989901324,0.467223987117457
79.4,0.276530486072915,0.465477331945358
79.6,0.253834961262427,0.461356582568858
79.8,0.231167352293525,0.455036772757158
80,0.209375459917624,0.446829738799657
80.2,0.189200008347015,0.437115946069255
80.4,0.171128056169522,0.426286960283257
80.6,0.155397464888125,0.414729291130858
80.8,0.141992316546023,0.402833143765257
81,0.130670130339325,0.390991808595057
81.2,0.12096139088402,0.379576854634458
81.4,0.112191289713422,0.368904236136057
81.6,0.103564227589715,0.359222984780455
81.8,0.0943181248154161,0.350717026501457
82,0.0838204303319259,0.343515151205658
82.2,0.0716581917217241,0.337678112960756
82.4,0.0576160837826194,0.333167955209156
82.6,0.0416491745652223,0.329830114281858
82.8,0.0239044489193248,0.327409227429257
83,0.00473587114001361,0.325588673660256
83.2,-0.0152542104677735,0.324038309724457
83.4,-0.0352653986668798,0.322439945509657
83.6,-0.0544511134393844,0.320492707013358
83.8,-0.0720405265228834,0.317920193822257
84,-0.0873743761985821,0.314501339869558
84.2,-0.099988404131679,0.310111427301155
84.4,-0.10954148254018,0.304747104213355
84.6,-0.115847703702883,0.298523370708455
84.8,-0.118885988004379,0.291647574872258
85,-0.118693102716577,0.284406139408258
85.2,-0.115348405167481,0.277160428321956
85.4,-0.108834374001574,0.270348214951657
85.6,-0.0990734696409845,0.264450366562055
85.8,-0.0859287127063766,0.259930272499457
86,-0.0693812907047828,0.257175836747656
86.2,-0.0495550597974841,0.256473335125857
86.4,-0.0267015553966843,0.258010105888857
86.6,-0.00120420247968411,0.261878400571558
86.8,0.0264059359130187,0.268059949739158
87,0.0554878890987141,0.276402734913358
87.2,0.0852691254592202,0.286597484069056
87.4,0.114924099158927,0.298171449667557
87.6,0.143540188284121,0.310443775631356
87.8,0.170148845138314,0.322516137478058
88,0.193722294133224,0.333305213423557
88.2,0.213246542843024,0.341634600175357
88.4,0.227828774997718,0.346353758812757
88.6,0.23679661882862,0.346452273124758
88.8,0.239705950487817,0.341153486923556
89,0.236410835531814,0.329999990439458
89.2,0.227164145048519,0.312944701499756
89.4,0.212665847530815,0.290432252237157
89.6,0.194130446763822,0.263422155098258
89.8,0.173146428634922,0.233340959360458
90,0.151529244183919,0.201971181386558
90.2,0.131181494277527,0.171328379315359
90.4,0.113981458471017,0.143538489338855
90.6,0.101688640836016,0.120704752406358
90.8,0.0957759073521203,0.104740741814055
91,0.0973539629848261,0.0971777839456571
91.2,0.106978065778023,0.0989957457812558
91.4,0.124679638466418,0.110525882106558
91.6,0.149971264901822,0.131424646808057
91.8,0.181947588280224,0.160699637711858
92,0.219325938560814,0.196772303196855
92.2,0.260489778465924,0.237586916433958
92.4,0.303561306598724,0.280800703277958
92.6,0.346553556934026,0.323972571104857
92.8,0.387534105527223,0.364757024248558
93,0.424748296838914,0.401080310075656
93.2,0.456711573207116,0.431259800585956
93.4,0.482229090832718,0.454067227871157
93.6,0.500440512867627,0.468766034417659
93.8,0.510830496108525,0.475134737020156
94,0.513343526293326,0.473473553805857
94.2,0.508322804544619,0.464578640435157
94.4,0.496475899293316,0.449671740416957
94.6,0.478766446796826,0.430292536185757
94.8,0.456320529247719,0.408180668974058
95,0.430345894611421,0.385162006833458
95.2,0.402050337630215,0.363044317548258
95.4,0.372706914362226,0.343516800526658
95.6,0.34349415035642,0.328049228955855
95.8,0.315490861745417,0.317812116096558
96,0.289689839909826,0.313632512704857
96.2,0.266924869568427,0.315968718627957
96.4,0.247921048044319,0.324912033725656
96.6,0.233128382441919,0.340166678961257
96.8,0.222681313028716,0.361074892846258
97,0.216416220275221,0.386695711961657
97.2,0.214029928165317,0.415947989259156
97.4,0.21515472967792,0.447735470268558
97.6,0.219381586815615,0.481016809313157
97.8,0.226216756707615,0.514808561260956
98,0.235031726547518,0.548164638958856
98.2,0.245017093340124,0.580193668201257
98.4,0.25535173477202,0.610118349275858
98.6,0.265315750537425,0.637314409887157
98.8,0.274281613477626,0.661292673539158
99,0.281645940630824,0.681650390699357
99.2,0.286877515485017,0.698049882335056
99.4,0.289573368885627,0.710252084487756
99.6,0.28956696846322,0.718167304557657
99.8,0.286940376580816,0.721877827787758
100,0.281954339205015,0.721627469250457
100.2,0.274974487799327,0.717799583858156
100.4,0.266387688664622,0.710910821045658
100.6,0.256600014567027,0.701611190155656
100.8,0.246037185160517,0.690660624918255
101,0.235046558981523,0.678870240960158
101.2,0.223879447097517,0.667036033061958
101.4,0.212666252312218,0.655876914668856
101.6,0.201416015738516,0.646002944908759
101.8,0.190126228629723,0.637892405812657
102,0.17874716223092,0.631879927041759
102.2,0.167246803551919,0.628156943400857
102.4,0.155606360875225,0.626789093069657
102.6,0.143894157860416,0.627740651569656
102.8,0.132253731955714,0.630897302622358
103,0.120888008587826,0.636087487553258
103.2,0.110110023055825,0.643096878715756
103.4,0.100367274228617,0.651683301014558
103.6,0.0922113519115158,0.661572716973655
103.8,0.0862786540852198,0.672441230039258
104,0.0832276970897254,0.683892111531758
104.2,0.0836651121265248,0.695456570831858
104.4,0.0880672035641226,0.706609958347055
104.6,0.0967130504030251,0.716792191262957
104.8,0.109635015817119,0.725423060538056
105,0.126530003310123,0.731916745923158
105.2,0.146773344629025,0.735711220429757
105.4,0.169505983946223,0.736311529115255
105.6,0.193735903487919,0.733326771660856
105.8,0.218406622683617,0.726487536998256
106,0.242426099027227,0.715647292043258
106.2,0.264760964808616,0.700788962288758
106.4,0.28448756549902,0.682051629485155
106.6,0.30082708124722,0.659760509143958
106.8,0.313239835160218,0.634435844047758
107,0.321401823724415,0.606789025570755
107.2,0.325238704597723,0.577706788264656
107.4,0.324949625114215,0.548226105909357
107.6,0.321001985564621,0.519466603952559
107.8,0.314074017955022,0.492517404957656
108,0.304892223651322,0.468305803120156
108.2,0.294285368355418,0.447517501795758
108.4,0.283117226375921,0.430574698455757
108.6,0.272334189008618,0.417639671414957
108.8,0.262821010573418,0.408608055475558
109,0.255290907543724,0.403082952379858
109.2,0.250117690571315,0.400364404952057
109.4,0.247300562329727,0.399512086238858
109.6,0.246604995092014,0.399479387521858
109.8,0.247688378708418,0.399245140758858
110,0.250119189290317,0.397894260911656
110.2,0.253455558171225,0.394654277552757
110.4,0.257164920484527,0.388921954890257
110.6,0.260728290560422,0.380301701499956
110.8,0.263690114680017,0.368638830451555
111,0.265717630027922,0.354024819435455
111.2,0.266556959192314,0.336758453289857
111.4,0.266023969195416,0.317286152403057
111.6,0.264008892491816,0.296142003569457
111.8,0.260446917632919,0.273886446960358
112,0.255253403241326,0.251047436543356
112.2,0.248361850105724,0.228058396298955
112.4,0.239664298549727,0.205220810787857
112.6,0.229010339048926,0.182699744026255
112.8,0.216276182205817,0.160558558578256
113,0.201412305525125,0.138807931676258
113.2,0.184472743566218,0.117454790864958
113.4,0.165655420555524,0.0965405256789573
